iter	MultiClass
0	1.032353718
1	0.976460356
2	0.9307139406
3	0.896128407
4	0.8642464106
5	0.8356117474
6	0.8123692715
7	0.7913368768
8	0.7746237677
9	0.7582675781
10	0.7444275544
11	0.7357276434
12	0.7268020959
13	0.7172090833
14	0.7068007206
15	0.7008348937
16	0.6928524255
17	0.6870615708
18	0.6804627763
19	0.6771678019
20	0.6707061256
21	0.6658526134
22	0.662666228
23	0.6604039536
24	0.6546837485
25	0.650027804
26	0.6455512017
27	0.6431369363
28	0.6402973611
29	0.6377078803
30	0.6349119111
31	0.6323122528
32	0.6293414105
33	0.6269301508
34	0.6236006904
35	0.6223636188
36	0.620964098
37	0.6185470171
38	0.6164063772
39	0.6142995005
40	0.6128006196
41	0.6114673879
42	0.6088887346
43	0.6077225946
44	0.6060588875
45	0.6048442247
46	0.6042687433
47	0.6028994239
48	0.6022349554
49	0.6005461106
50	0.5984464238
51	0.5970347186
52	0.595908392
53	0.5943709864
54	0.592705235
55	0.5907530013
56	0.5890361819
57	0.5877502591
58	0.5869391816
59	0.5865045217
60	0.5844694659
61	0.5837970027
62	0.582897238
63	0.5821427422
64	0.5815525868
65	0.580352645
66	0.5791583343
67	0.5785294508
68	0.5768835583
69	0.5761494304
70	0.5744561358
71	0.5734969829
72	0.572259078
73	0.5711316596
74	0.5689806264
75	0.5680230042
76	0.5675538222
77	0.5671221884
78	0.5657632874
79	0.564719992
80	0.5641456659
81	0.5636914013
82	0.5629351484
83	0.5625658412
84	0.5616458747
85	0.5608315555
86	0.5602301072
87	0.5599597335
88	0.5596257894
89	0.5591653897
90	0.5585924845
91	0.5577694999
92	0.5569506106
93	0.5560920434
94	0.5554049465
95	0.5546641837
96	0.5539453634
97	0.5525245533
98	0.5517629742
99	0.5508378169
