iter	Passed	Remaining
0	227	22478
1	291	14265
2	357	11561
3	402	9651
4	454	8631
5	510	7998
6	552	7344
7	594	6834
8	642	6497
9	706	6359
10	750	6073
11	788	5780
12	834	5582
13	882	5420
14	928	5262
15	969	5089
16	1016	4964
17	1066	4857
18	1114	4749
19	1158	4633
20	1204	4529
21	1253	4443
22	1295	4336
23	1344	4258
24	1408	4224
25	1472	4190
26	1565	4232
27	1607	4134
28	1677	4106
29	1725	4025
30	1766	3932
31	1809	3845
32	1851	3758
33	1897	3684
34	1938	3599
35	1973	3508
36	2013	3428
37	2047	3341
38	2081	3255
39	2113	3170
40	2148	3091
41	2181	3012
42	2221	2944
43	2258	2874
44	2294	2804
45	2330	2736
46	2365	2667
47	2406	2606
48	2442	2541
49	2480	2480
50	2521	2422
51	2553	2356
52	2588	2295
53	2634	2244
54	2674	2188
55	2727	2142
56	2782	2099
57	2840	2057
58	2908	2021
59	2997	1998
60	3044	1946
61	3095	1897
62	3164	1858
63	3207	1804
64	3244	1747
65	3283	1691
66	3330	1640
67	3363	1582
68	3402	1528
69	3434	1471
70	3469	1417
71	3514	1366
72	3556	1315
73	3596	1263
74	3638	1212
75	3677	1161
76	3713	1109
77	3756	1059
78	3801	1010
79	3849	962
80	3891	912
81	3940	865
82	3989	817
83	4032	768
84	4087	721
85	4134	673
86	4176	624
87	4225	576
88	4265	527
89	4301	477
90	4340	429
91	4381	381
92	4424	333
93	4471	285
94	4516	237
95	4563	190
96	4602	142
97	4648	94
98	4691	47
99	4733	0
