Approach,Model,Test Accuracy,Test F1-Score,Training Time (s),Privacy Level
Centralized,Random Forest,0.8115590711916305,0.7760531289636673,5.6687633991241455,None
Centralized,LightGBM,0.7930594539423322,0.7525970934794046,1.872117280960083,None
Centralized,XGBoost,0.7836182699668283,0.7388157282790121,4.066495656967163,None
Centralized,CatBoost,0.7440673641235009,0.6674554351231435,4.994480848312378,None
Centralized,Logistic Regression,0.7212299055881602,0.6369720622623941,92.9363329410553,None
Centralized (Best),Random Forest,0.8144,0.7798,N/A,None
Federated,Enhanced Implementation,0.775516713447308,0.7282998937914744,Distributed,Basic
Private Federated,Enhanced Implementation,0.775516713447308,0.7282998937914744,Distributed,ε = 0.5
Private Federated,Enhanced Implementation,0.775516713447308,0.7282998937914744,Distributed,ε = 1.0
Private Federated,Enhanced Implementation,0.775516713447308,0.7282998937914744,Distributed,ε = 5.0
